,,,,,,,,,,,,,
,pauseDuration0005,15+:18,0.25+:0.50,0,Increase Pause Duration,do better6,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps a ""yes"" or ""no"" question, try pausing a little longer to let them think - up to 20 seconds.",tip for 12-15 second quartile2,0,,,,
,pauseDuration0006,15+:18,0.50+:0.75,0,Good Pause Duration!,do better7,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps a ""yes"" or ""no"" question, try pausing a little longer to let them think - up to 20 seconds.",tip for 12-15 third quartile2,0,,,,
,pauseDuration0007,15+:18,0.75+:1.00,0,Decrease Pause Duration,do better 8,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps a ""yes"" or ""no"" question, try pausing a little longer to let them think - up to 20 seconds.",2tip for 12-15 best,0,,,,
,pauseDuration0008,18+:21,0.01:0.25,0,Increase Pause Duration,do better 9,Try pausing for 15 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,"At this age, children are learning how conversation works. They're learning that they are participants in the back-and-forth nature of conversation. Try the ""Babble Battle"". Choose a sound they know how to make, and say it to them in a regular voice with your eyes really wide. Try to get them to say it back. When they do, you smile and say it again in a really low or high voice and try to get them to copy you. Make big eyes at them to show them you want them to say it, too. If they don't say anything in 20 seconds, repeat the sound a few times in a silly voice and try to get them to copy you. Go back and forth as many times as possible. ",0,,,,
,pauseDuration0009,18+:21,0.25+:0.50,0,Increase Pause Duration,do better 10,Try pausing for 15 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,"At this age, children are learning how conversation works. They're learning that they are participants in the back-and-forth nature of conversation. Try the ""Babble Battle"". Choose a sound they know how to make, and say it to them in a regular voice with your eyes really wide. Try to get them to say it back. When they do, you smile and say it again in a really low or high voice and try to get them to copy you. Make big eyes at them to show them you want them to say it, too. If they don't say anything in 20 seconds, repeat the sound a few times in a silly voice and try to get them to copy you. Go back and forth as many times as possible. ",0,,,,
,pauseDuration0010,18+:21,0.50+:0.75,0,Good Pause Duration!,do better 11,Try pausing for 15 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,"At this age, children are learning how conversation works. They're learning that they are participants in the back-and-forth nature of conversation. Try the ""Babble Battle"". Choose a sound they know how to make, and say it to them in a regular voice with your eyes really wide. Try to get them to say it back. When they do, you smile and say it again in a really low or high voice and try to get them to copy you. Make big eyes at them to show them you want them to say it, too. If they don't say anything in 20 seconds, repeat the sound a few times in a silly voice and try to get them to copy you. Go back and forth as many times as possible. ",0,,,,
,pauseDuration0011,18+:21,0.75+:1.00,0,Decrease Pause Duration,do better 12,Try pausing for 15 seconds and looking expectantly at your child each time you say something to them. You may raise your eyebrows when expecting them to say something to you. A gentle smile often helps.,"At this age, children are learning how conversation works. They're learning that they are participants in the back-and-forth nature of conversation. Try the ""Babble Battle"". Choose a sound they know how to make, and say it to them in a regular voice with your eyes really wide. Try to get them to say it back. When they do, you smile and say it again in a really low or high voice and try to get them to copy you. Make big eyes at them to show them you want them to say it, too. If they don't say anything in 20 seconds, repeat the sound a few times in a silly voice and try to get them to copy you. Go back and forth as many times as possible. ",0,,,,
,pauseDuration0012,21+:24,0.01:0.25,0,Increase Pause Duration,do better 13,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps when you ask them to point to something on the page, such as ""Where is the dog?""; ""Can you point to the boy who looks happy?"", try pausing a little longer to let them think - up to 15 seconds.",tip for 12-15 wors3t ,0,,,,
,pauseDuration0013,21+:24,0.25+:0.50,0,Increase Pause Duration,do better 14,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps when you ask them to point to something on the page, such as ""Where is the dog?""; ""Can you point to the boy who looks happy?"", try pausing a little longer to let them think - up to 15 seconds.",tip for 12-15 seco3nd quartile,0,,,,
,pauseDuration0014,21+:24,0.50+:0.75,0,Good Pause Duration!,do better 15,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps when you ask them to point to something on the page, such as ""Where is the dog?""; ""Can you point to the boy who looks happy?"", try pausing a little longer to let them think - up to 15 seconds.",tip for 12-15 thi3rd quartile,0,,,,
,pauseDuration0015,21+:24,0.75+:1.00,0,Decrease Pause Duration,do better 16,"It's helpful to give your child a little extra time to process what you have said. When you ask a question you think they can understand and respond to, perhaps when you ask them to point to something on the page, such as ""Where is the dog?""; ""Can you point to the boy who looks happy?"", try pausing a little longer to let them think - up to 15 seconds.",tip for 12-15 b3est,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
